DischQuarter,DischMonth,PrimaryCategory,CCS.CATEGORY.DESCRIPTION,totalCases,modeOfLOS,totalLOS,ALOS
2,4,Diseases of the circulatory system,Other diseases of veins and lymphatics,1,1,1,1
2,4,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1,7,7,7
2,4,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,2,1,7,3.5
2,4,Diseases of the digestive system,Abdominal hernia,1,1,1,1
2,4,Diseases of the digestive system,Anal and rectal conditions,15,2,31,2.07
2,4,Diseases of the digestive system,Appendicitis and other appendiceal conditions,4,5,15,3.75
2,4,Diseases of the digestive system,Biliary tract disease,8,2,19,2.38
2,4,Diseases of the digestive system,Disorders of teeth and jaw,1,5,5,5
2,4,Diseases of the digestive system,Diverticulosis and diverticulitis,6,1,19,3.17
2,4,Diseases of the digestive system,Gastritis and duodenitis,6,1,13,2.17
2,4,Diseases of the digestive system,Gastrointestinal hemorrhage,2,1,2,1
2,4,Diseases of the digestive system,Intestinal obstruction without hernia,1,5,5,5
2,4,Diseases of the digestive system,Other gastrointestinal disorders,1,8,8,8
2,4,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,6,6,6
2,4,Diseases of the digestive system,Peritonitis and intestinal abscess,1,5,5,5
2,4,Diseases of the digestive system,Regional enteritis and ulcerative colitis,2,8,11,5.5
2,4,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,1,2,2,2
2,4,Diseases of the genitourinary system,Calculus of urinary tract,1,1,1,1
2,4,Diseases of the genitourinary system,Endometriosis,1,1,1,1
2,4,Diseases of the genitourinary system,Genitourinary symptoms and ill-defined conditions,1,6,6,6
2,4,Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,1,3,3,3
2,4,Diseases of the genitourinary system,Menopausal disorders,1,3,3,3
2,4,Diseases of the genitourinary system,Menstrual disorders,2,3,6,3
2,4,Diseases of the genitourinary system,Other female genital disorders,1,0,0,0
2,4,Diseases of the genitourinary system,Ovarian cyst,1,3,3,3
2,4,Diseases of the genitourinary system,Prolapse of female genital organs,1,1,1,1
2,4,Diseases of the genitourinary system,Urinary tract infections,6,2,23,3.83
2,4,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,10,5,46,4.6
2,4,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,2,2,13,6.5
2,4,Diseases of the nervous system,Epilepsy; convulsions,7,1,13,1.86
2,4,Diseases of the nervous system,Headache; including migraine,1,1,1,1
2,4,Diseases of the nervous system,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,6,6,6
2,4,Diseases of the nervous system,Other nervous system disorders,2,12,17,8.5
2,4,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,1,1,1,1
2,4,Diseases of the respiratory system,Acute and chronic tonsillitis,2,1,2,1
2,4,Diseases of the respiratory system,Acute bronchitis,8,6,37,4.62
2,4,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,1,29,29,29
2,4,Diseases of the respiratory system,Asthma,4,2,13,3.25
2,4,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,3,7,14,4.67
2,4,Diseases of the respiratory system,Other lower respiratory disease,1,0,0,0
2,4,Diseases of the respiratory system,Other upper respiratory infections,4,4,7,1.75
2,4,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,2,2,2
2,4,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),20,2,102,5.1
2,4,Diseases of the skin and subcutaneous tissue,Allergic reactions,1,4,4,4
2,4,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,7,4,39,5.57
2,4,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,2,7,8,4
2,4,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,6,6,6
2,4,External causes of morbidity and mortality,,4,5,19,4.75
2,4,Factors influencing health status and contact with health services,Chronic kidney disease,4,0,32,8
2,4,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,2,1,1,0.5
2,4,Factors influencing health status and contact with health services,Medical examination/evaluation,1,2,2,2
2,4,Factors influencing health status and contact with health services,Other screening for suspected conditions (not mental disorders or infectious disease),1,1,1,1
2,4,Factors influencing health status and contact with health services,Residual codes; unclassified,22,3,60,2.73
2,4,"Injury, poisoning and certain other consequences of external causes",Complication of device; implant or graft,1,7,7,7
2,4,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,7,1,12,1.71
2,4,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,5,1,22,4.4
2,4,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),4,10,35,8.75
2,4,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,3,1,6,2
2,4,"Injury, poisoning and certain other consequences of external causes",Intracranial injury,1,4,4,4
2,4,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,3,1,3,1
2,4,"Injury, poisoning and certain other consequences of external causes",Other fractures,2,1,5,2.5
2,4,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,2,1,3,1.5
2,4,"Injury, poisoning and certain other consequences of external causes",Poisoning by other medications and drugs,1,1,1,1
2,4,"Injury, poisoning and certain other consequences of external causes",Skull and face fractures,1,2,2,2
2,4,"Injury, poisoning and certain other consequences of external causes",Superficial injury; contusion,2,1,2,1
2,4,Mental and behavioural disorders,,1,1,1,1
2,4,Neoplasms,Benign neoplasm of uterus,1,3,3,3
2,4,"Pregnancy, childbirth and the puerperium",Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium,1,5,5,5
2,4,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,1,3,3,3
2,4,"Pregnancy, childbirth and the puerperium",Fetopelvic disproportion; obstruction,1,3,3,3
2,4,"Pregnancy, childbirth and the puerperium",Forceps delivery,1,3,3,3
2,4,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,1,1,1,1
2,4,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,12,2,33,2.75
2,4,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,6,3,14,2.33
2,4,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,7,2,9,1.29
2,4,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,2,0,1,0.5
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,5,1,6,1.2
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,1,5,1.67
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,3,1,16,5.33
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,1,1,1
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,1,14,14,14
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,1,2,2,2
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Malaise and fatigue,1,30,30,30
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,12,1,12,1
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,2,5,14,7
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,5,1,6,1.2
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,1,1,1,1
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,1,1,1,1
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,3,1,3,1
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,8,1,15,1.88
2,4,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Thyroid disorders,1,4,4,4
2,5,Certain infectious and parasitic diseases,Intestinal infection,15,2,37,2.47
2,5,Certain infectious and parasitic diseases,Septicemia (except in labor),4,2,36,9
2,5,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,3,1,4,1.33
2,5,Diseases of the circulatory system,Acute cerebrovascular disease,2,2,3,1.5
2,5,Diseases of the circulatory system,Acute myocardial infarction,3,1,17,5.67
2,5,Diseases of the circulatory system,Aortic; peripheral; and visceral artery aneurysms,1,10,10,10
2,5,Diseases of the circulatory system,Cardiac dysrhythmias,6,1,11,1.83
2,5,Diseases of the circulatory system,Conduction disorders,1,1,1,1
2,5,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,4,1,10,2.5
2,5,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,3,1,3,1
2,5,Diseases of the circulatory system,Essential hypertension,2,3,4,2
2,5,Diseases of the circulatory system,Other circulatory disease,2,3,5,2.5
2,5,Diseases of the circulatory system,Phlebitis; thrombophlebitis and thromboembolism,2,6,14,7
2,5,Diseases of the circulatory system,Pulmonary heart disease,1,4,4,4
2,5,Diseases of the digestive system,Abdominal hernia,3,1,8,2.67
2,5,Diseases of the digestive system,Anal and rectal conditions,9,1,13,1.44
2,5,Diseases of the digestive system,Appendicitis and other appendiceal conditions,3,1,6,2
2,5,Diseases of the digestive system,Biliary tract disease,4,5,27,6.75
2,5,Diseases of the digestive system,Diverticulosis and diverticulitis,2,4,5,2.5
2,5,Diseases of the digestive system,Esophageal disorders,3,1,4,1.33
2,5,Diseases of the digestive system,Gastritis and duodenitis,7,2,19,2.71
2,5,Diseases of the digestive system,Gastrointestinal hemorrhage,2,10,18,9
2,5,Diseases of the digestive system,Intestinal obstruction without hernia,2,3,4,2
2,5,Diseases of the digestive system,Noninfectious gastroenteritis,1,4,4,4
2,5,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,7,7,7
2,5,Diseases of the digestive system,Peritonitis and intestinal abscess,1,13,13,13
2,5,Diseases of the genitourinary system,Endometriosis,4,3,12,3
2,5,Diseases of the genitourinary system,Female infertility,1,3,3,3
2,5,Diseases of the genitourinary system,Menstrual disorders,2,1,1,0.5
2,5,Diseases of the genitourinary system,Other female genital disorders,1,3,3,3
2,5,Diseases of the genitourinary system,Ovarian cyst,1,1,1,1
2,5,Diseases of the genitourinary system,Prolapse of female genital organs,3,2,6,2
2,5,Diseases of the genitourinary system,Urinary tract infections,15,4,42,2.8
2,5,Diseases of the musculoskeletal system and connective tissue,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),1,8,8,8
2,5,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,10,4,43,4.3
2,5,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,7,1,17,2.43
2,5,Diseases of the musculoskeletal system and connective tissue,Other non-traumatic joint disorders,2,1,3,1.5
2,5,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,2,3,4,2
2,5,Diseases of the nervous system,Acute cerebrovascular disease,1,14,14,14
2,5,Diseases of the nervous system,Epilepsy; convulsions,2,1,21,10.5
2,5,Diseases of the nervous system,Other nervous system disorders,2,1,7,3.5
2,5,Diseases of the nervous system,Paralysis,1,1,1,1
2,5,Diseases of the nervous system,Retinal detachments; defects; vascular occlusion; and retinopathy,3,15,18,6
2,5,Diseases of the respiratory system,Acute and chronic tonsillitis,1,4,4,4
2,5,Diseases of the respiratory system,Acute bronchitis,20,3,212,10.6
2,5,Diseases of the respiratory system,Aspiration pneumonitis; food/vomitus,2,2,9,4.5
2,5,Diseases of the respiratory system,Asthma,2,5,6,3
2,5,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,3,3,17,5.67
2,5,Diseases of the respiratory system,Other upper respiratory infections,1,2,2,2
2,5,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,2,27,35,17.5
2,5,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),5,2,22,4.4
2,5,Diseases of the skin and subcutaneous tissue,Chronic ulcer of skin,1,9,9,9
2,5,Diseases of the skin and subcutaneous tissue,Other inflammatory condition of skin,2,17,20,10
2,5,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,6,1,33,5.5
2,5,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,3,2,4,1.33
2,5,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,1,3,3,3
2,5,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,2,4,5,2.5
2,5,"Endocrine, nutritional and metabolic diseases",Other nutritional; endocrine; and metabolic disorders,1,6,6,6
2,5,External causes of morbidity and mortality,,6,5,18,3
2,5,Factors influencing health status and contact with health services,Chronic kidney disease,5,0,0,0
2,5,Factors influencing health status and contact with health services,Contraceptive and procreative management,1,1,1,1
2,5,Factors influencing health status and contact with health services,Immunizations and screening for infectious disease,1,1,1,1
2,5,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,2,1,8,4
2,5,Factors influencing health status and contact with health services,Medical examination/evaluation,1,1,1,1
2,5,Factors influencing health status and contact with health services,Other aftercare,2,0,1,0.5
2,5,Factors influencing health status and contact with health services,Residual codes; unclassified,24,3,72,3
2,5,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,6,1,19,3.17
2,5,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,1,3,3,3
2,5,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),3,9,33,11
2,5,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,5,1,8,1.6
2,5,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,3,1,7,2.33
2,5,"Injury, poisoning and certain other consequences of external causes",Open wounds of head; neck; and trunk,2,6,8,4
2,5,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,5,1,22,4.4
2,5,"Injury, poisoning and certain other consequences of external causes",Poisoning by nonmedicinal substances,1,0,0,0
2,5,Mental and behavioural disorders,,2,5,6,3
2,5,Neoplasms,Cancer of head and neck,3,8,30,10
2,5,Neoplasms,Leukemias,2,20,23,11.5
2,5,"Pregnancy, childbirth and the puerperium",Early or threatened labor,1,0,0,0
2,5,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,2,5,6,3
2,5,"Pregnancy, childbirth and the puerperium",Fetopelvic disproportion; obstruction,3,3,10,3.33
2,5,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,1,1,1,1
2,5,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,11,3,30,2.73
2,5,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,9,3,29,3.22
2,5,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,1,1,1,1
2,5,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,3,0,1,0.33
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,4,2,21,5.25
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,6,1,5,0.83
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,2,2,2
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,2,1,2,1
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Headache; including migraine,1,1,1,1
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,3,2,8,2.67
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,14,1,20,1.43
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,1,4,4,4
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,1,5,5,5
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other skin disorders,2,2,15,7.5
2,5,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,2,3,4,2
2,6,Certain conditions originating in the perinatal period,Hemolytic jaundice and perinatal jaundice,1,2,2,2
2,6,Certain infectious and parasitic diseases,Intestinal infection,12,1,32,2.67
2,6,Certain infectious and parasitic diseases,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,3,3,3
2,6,Certain infectious and parasitic diseases,Septicemia (except in labor),4,4,33,8.25
2,6,Certain infectious and parasitic diseases,Viral infection,1,1,1,1
2,6,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation and hemorrhagic disorders,1,0,0,0
2,6,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,5,1,9,1.8
2,6,Diseases of the circulatory system,Acute cerebrovascular disease,3,1,6,2
2,6,Diseases of the circulatory system,Acute myocardial infarction,1,4,4,4
2,6,Diseases of the circulatory system,Cardiac dysrhythmias,9,1,12,1.33
2,6,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,7,3,31,4.43
2,6,Diseases of the circulatory system,Coronary atherosclerosis and other heart disease,1,1,1,1
2,6,Diseases of the circulatory system,Lymphadenitis,1,15,15,15
2,6,Diseases of the circulatory system,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),1,6,6,6
2,6,Diseases of the circulatory system,Peripheral and visceral atherosclerosis,1,4,4,4
2,6,Diseases of the circulatory system,Pulmonary heart disease,2,17,19,9.5
2,6,Diseases of the digestive system,Abdominal hernia,3,1,13,4.33
2,6,Diseases of the digestive system,Anal and rectal conditions,4,3,20,5
2,6,Diseases of the digestive system,Appendicitis and other appendiceal conditions,3,3,6,2
2,6,Diseases of the digestive system,Biliary tract disease,3,1,14,4.67
2,6,Diseases of the digestive system,Diseases of mouth; excluding dental,1,3,3,3
2,6,Diseases of the digestive system,Disorders of teeth and jaw,5,1,17,3.4
2,6,Diseases of the digestive system,Diverticulosis and diverticulitis,1,2,2,2
2,6,Diseases of the digestive system,Esophageal disorders,2,2,3,1.5
2,6,Diseases of the digestive system,Gastritis and duodenitis,6,1,10,1.67
2,6,Diseases of the digestive system,Gastroduodenal ulcer (except hemorrhage),1,1,1,1
2,6,Diseases of the digestive system,Gastrointestinal hemorrhage,1,2,2,2
2,6,Diseases of the digestive system,Intestinal obstruction without hernia,2,2,3,1.5
2,6,Diseases of the digestive system,Other liver diseases,1,7,7,7
2,6,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,2,2,2
2,6,Diseases of the digestive system,Peritonitis and intestinal abscess,1,4,4,4
2,6,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,2,0,1,0.5
2,6,Diseases of the ear and mastoid process,Otitis media and related conditions,1,1,1,1
2,6,Diseases of the genitourinary system,Acute and unspecified renal failure,1,5,5,5
2,6,Diseases of the genitourinary system,Calculus of urinary tract,3,1,4,1.33
2,6,Diseases of the genitourinary system,Menstrual disorders,4,3,9,2.25
2,6,Diseases of the genitourinary system,Other male genital disorders,1,1,1,1
2,6,Diseases of the genitourinary system,Urinary tract infections,16,3,73,4.56
2,6,Diseases of the musculoskeletal system and connective tissue,Gout and other crystal arthropathies,1,1,1,1
2,6,Diseases of the musculoskeletal system and connective tissue,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),1,12,12,12
2,6,Diseases of the musculoskeletal system and connective tissue,Osteoarthritis,8,5,37,4.62
2,6,Diseases of the musculoskeletal system and connective tissue,Other connective tissue disease,1,1,1,1
2,6,Diseases of the musculoskeletal system and connective tissue,Spondylosis; intervertebral disc disorders; other back problems,2,2,8,4
2,6,Diseases of the nervous system,Epilepsy; convulsions,2,1,2,1
2,6,Diseases of the nervous system,Other nervous system disorders,1,2,2,2
2,6,Diseases of the respiratory system,Acute and chronic tonsillitis,3,1,10,3.33
2,6,Diseases of the respiratory system,Acute bronchitis,23,3,134,5.83
2,6,Diseases of the respiratory system,Chronic obstructive pulmonary disease and bronchiectasis,5,1,17,3.4
2,6,Diseases of the respiratory system,Other upper respiratory infections,4,3,15,3.75
2,6,Diseases of the respiratory system,Pleurisy; pneumothorax; pulmonary collapse,1,8,8,8
2,6,Diseases of the respiratory system,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),5,2,28,5.6
2,6,Diseases of the skin and subcutaneous tissue,Skin and subcutaneous tissue infections,8,3,20,2.5
2,6,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus without complication,2,6,6,3
2,6,"Endocrine, nutritional and metabolic diseases",Fluid and electrolyte disorders,1,8,8,8
2,6,"Endocrine, nutritional and metabolic diseases",Other endocrine disorders,1,2,2,2
2,6,"Endocrine, nutritional and metabolic diseases",Thyroid disorders,1,1,1,1
2,6,External causes of morbidity and mortality,,13,1,40,3.08
2,6,Factors influencing health status and contact with health services,Chronic kidney disease,1,26,26,26
2,6,Factors influencing health status and contact with health services,Contraceptive and procreative management,1,0,0,0
2,6,Factors influencing health status and contact with health services,Maintenance chemotherapy; radiotherapy,1,21,21,21
2,6,Factors influencing health status and contact with health services,Medical examination/evaluation,1,2,2,2
2,6,Factors influencing health status and contact with health services,Residual codes; unclassified,23,2,59,2.57
2,6,"Injury, poisoning and certain other consequences of external causes",Burns,1,1,1,1
2,6,"Injury, poisoning and certain other consequences of external causes",Complications of surgical procedures or medical care,2,1,9,4.5
2,6,"Injury, poisoning and certain other consequences of external causes",Crushing injury or internal injury,9,1,26,2.89
2,6,"Injury, poisoning and certain other consequences of external causes",Fracture of lower limb,5,4,38,7.6
2,6,"Injury, poisoning and certain other consequences of external causes",Fracture of neck of femur (hip),2,8,16,8
2,6,"Injury, poisoning and certain other consequences of external causes",Fracture of upper limb,7,3,20,2.86
2,6,"Injury, poisoning and certain other consequences of external causes",Joint disorders and dislocations; trauma-related,4,0,8,2
2,6,"Injury, poisoning and certain other consequences of external causes",Open wounds of extremities,1,2,2,2
2,6,"Injury, poisoning and certain other consequences of external causes",Other injuries and conditions due to external causes,3,1,5,1.67
2,6,"Injury, poisoning and certain other consequences of external causes",Skull and face fractures,1,0,0,0
2,6,Mental and behavioural disorders,,3,1,5,1.67
2,6,Neoplasms,Cancer of esophagus,1,3,3,3
2,6,Neoplasms,Cancer of rectum and anus,1,4,4,4
2,6,"Pregnancy, childbirth and the puerperium",Ectopic pregnancy,1,0,0,0
2,6,"Pregnancy, childbirth and the puerperium",Fetal distress and abnormal forces of labor,3,4,11,3.67
2,6,"Pregnancy, childbirth and the puerperium",Hemorrhage during pregnancy; abruptio placenta; placenta previa,1,3,3,3
2,6,"Pregnancy, childbirth and the puerperium",Induced abortion,1,1,1,1
2,6,"Pregnancy, childbirth and the puerperium",Malposition; malpresentation,14,2,32,2.29
2,6,"Pregnancy, childbirth and the puerperium",Other complications of birth; puerperium affecting management of mother,5,4,20,4
2,6,"Pregnancy, childbirth and the puerperium",Other complications of pregnancy,2,1,2,1
2,6,"Pregnancy, childbirth and the puerperium",Spontaneous abortion,1,0,0,0
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Abdominal pain,8,1,10,1.25
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Cardiac dysrhythmias,3,2,3,1
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Conditions associated with dizziness or vertigo,2,1,3,1.5
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Epilepsy; convulsions,1,5,5,5
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Fever of unknown origin,1,3,3,3
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Genitourinary symptoms and ill-defined conditions,3,3,8,2.67
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nausea and vomiting,3,0,9,3
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Nonspecific chest pain,14,1,11,0.79
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other circulatory disease,2,1,1,0.5
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other liver diseases,1,16,16,16
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other lower respiratory disease,2,1,3,1.5
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nervous system disorders,1,8,8,8
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other nutritional; endocrine; and metabolic disorders,1,6,6,6
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Residual codes; unclassified,2,2,3,1.5
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Syncope,10,2,29,2.9
2,6,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Thyroid disorders,2,3,17,8.5
3,7,Certain conditions originating in the perinatal period,Other perinatal conditions,1,1,1,1
3,7,Certain infectious and parasitic diseases,Bacterial infection; unspecified site,1,2,2,2
3,7,Certain infectious and parasitic diseases,Intestinal infection,24,2,60,2.5
3,7,Certain infectious and parasitic diseases,Meningitis (except that caused by tuberculosis or sexually transmitted disease),1,2,2,2
3,7,Certain infectious and parasitic diseases,Septicemia (except in labor),2,2,11,5.5
3,7,Certain infectious and parasitic diseases,Tuberculosis,1,21,21,21
3,7,Certain infectious and parasitic diseases,Viral infection,3,4,6,2
3,7,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital anomalies,1,1,1,1
3,7,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Deficiency and other anemia,2,2,6,3
3,7,Diseases of the circulatory system,Acute cerebrovascular disease,2,2,22,11
3,7,Diseases of the circulatory system,Acute myocardial infarction,3,1,8,2.67
3,7,Diseases of the circulatory system,Cardiac dysrhythmias,11,0,14,1.27
3,7,Diseases of the circulatory system,Conduction disorders,2,1,2,1
3,7,Diseases of the circulatory system,Congestive heart failure; nonhypertensive,8,4,50,6.25
3,7,Diseases of the circulatory system,Esophageal disorders,1,10,10,10
3,7,Diseases of the circulatory system,Essential hypertension,2,1,9,4.5
3,7,Diseases of the circulatory system,Heart valve disorders,1,3,3,3
3,7,Diseases of the circulatory system,Hypertension with complications and secondary hypertension,1,2,2,2
3,7,Diseases of the circulatory system,Other circulatory disease,1,2,2,2
3,7,Diseases of the circulatory system,Pulmonary heart disease,1,8,8,8
3,7,Diseases of the digestive system,Abdominal hernia,3,1,3,1
3,7,Diseases of the digestive system,Anal and rectal conditions,8,1,35,4.38
3,7,Diseases of the digestive system,Appendicitis and other appendiceal conditions,1,1,1,1
3,7,Diseases of the digestive system,Biliary tract disease,5,1,11,2.2
3,7,Diseases of the digestive system,Disorders of teeth and jaw,1,1,1,1
3,7,Diseases of the digestive system,Diverticulosis and diverticulitis,3,7,21,7
3,7,Diseases of the digestive system,Esophageal disorders,4,1,6,1.5
3,7,Diseases of the digestive system,Gastritis and duodenitis,5,1,5,1
3,7,Diseases of the digestive system,Gastrointestinal hemorrhage,6,3,19,3.17
3,7,Diseases of the digestive system,Noninfectious gastroenteritis,3,1,2,0.67
3,7,Diseases of the digestive system,Other gastrointestinal disorders,1,4,4,4
3,7,Diseases of the digestive system,Other liver diseases,1,4,4,4
3,7,Diseases of the digestive system,Pancreatic disorders (not diabetes),1,7,7,7
3,7,Diseases of the digestive system,Regional enteritis and ulcerative colitis,1,8,8,8
3,7,Diseases of the ear and mastoid process,Conditions associated with dizziness or vertigo,2,1,2,1
